Date,Title,Author,Fiction
2012/02/07,The Chronological Man,Andrew Mayne,1
2012/02/08,Cryptonomicon,Neal Stephenson,1
2012/02/22,Lord of the Flies,William Golding,1
2012/02/28,Hide and Seek,Ian Rankin,1
2012/03/07,A Scanner Darkly,Philip K. Dick,1
2012/03/14,"Locke and Key, Vol. 1",Joe Hill,1
2012/04/15,The Mythical Man-Month,Frederick P. Brooks Jr.,0
2012/04/19,Count Zero,William Gibson,1
2012/07/16,Daemon,Daniel Suarez,1
2012/07/19,The Cartel: Inside the Rise and Imminent Fall of the NCAA,Taylor Branch,0
2012/07/22,Flailing Fast: A Startup Story,An Anonymous Coward,0
2012/07/26,?,?,1
2012/07/27,Bone,Jeff Smith,1
2012/08/05,Non-Programmer's Tutorial for Python 2.6,"Josh Cogliati, et al.",0
2012/08/16,On the Way to the Web,Michael Banks,0
2012/09/06,Makers,Cory Doctorow,1
2012/09/08,"Locke and Key, Vol. 2",Joe Hill,1
2012/09/13,Wool Omnibus Edition,Hugh Howey,1
2012/09/17,Fragile Things,Neil Gaiman,1
2012/09/19,The Things They Carried,Tim O'Brien,1
2012/09/16,First Shift - Legacy,Hugh Howey,1
2012/11/29,Pedaling Revolution,Jeff Mapes,0
2012/12/07,Never Let Go,Dan John,0
2013/03/05,A Confederacy of Dunces,John Kennedy Toole,1
2013/03/15,The Path,Chet Raymo,0
2013/04/15,The Call of the Wild,Jack London,1
2013/09/01,Riding the Rap,Elmore Leonard,1
2013/09/20,Homeland,Cory Doctorow,1
2013/11/05,Pirate Cinema,Cory Doctorow,1
2013/12/29,The Old Ways: A Journey on Foot,Robert Macfarlane,0
2014/01/07,Hell's Angels,Hunter S. Thompson,0
2014/01/11,Walking the Line,Richard Long,0
